"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CfgVehicles_SFM_SSP99M_Back_Red0","Red Backpack from SSP-9 Ecologist Suit","Red Backpack from SSP-9 Ecologist Suit","Červený batoh z ekologického obleku SSP-9","Roter Rucksack von SSP-9 Ecologist Suit","Красный рюкзак от комбинезона ССП-9 Эколог","Czerwony plecak od SSP-9 Ecologist Suit","Piros hátizsák az SSP-9 ökológus öltönyből","Zaino rosso della tuta ecologica SSP-9","Mochila roja del traje de ecologista SSP-9","Sac à dos rouge de la combinaison écologiste SSP-9","来自 SSP-9 生态学家套装的红色背包","SSP-9 エコロジスト・スーツの赤いバックパック","Mochila vermelha do fato de ecologista SSP-9","来自 SSP-9 生态学家套装的红色背包",
"STR_CfgVehicles_SFM_SSP99M_Back_Red1","Part of the SSP-9 Ecologist suit, designed for research in anomalous activity zones, features radiation protection, not intended for combat operations","Part of the SSP-9 Ecologist suit, designed for research in anomalous activity zones, features radiation protection, not intended for combat operations","Součást obleku SSP-9 Ecologist, určeného pro výzkum v zónách anomální aktivity, s ochranou proti radiaci, není určen pro bojové operace.","Teil des SSP-9 Ecologist-Anzugs, konzipiert für die Forschung in Zonen anomaler Aktivität, mit Strahlenschutz, nicht für Kampfeinsätze bestimmt","Часть комбинезона ССП-9 Эколог, предназначен для исследования в условиях зоны аномальной активности, имеет радиационную защиту, не предназначен для ведения боевых действий","Część kombinezonu SSP-9 Ecologist, zaprojektowana do badań w strefach aktywności anomalnej, zapewnia ochronę przed promieniowaniem i nie jest przeznaczona do działań bojowych.","Az SSP-9 Ecologist ruha része, anomális aktivitású zónákban végzett kutatásra tervezték, sugárvédelemmel rendelkezik, nem harci műveletekre szánták.","Parte della tuta ecologica SSP-9, progettata per la ricerca in zone di attività anomala, dotata di protezione dalle radiazioni, non destinata alle operazioni di combattimento.","Parte del traje SSP-9 Ecologist, diseñado para la investigación en zonas de actividad anómala, cuenta con protección contra la radiación, no está destinado a operaciones de combate","Partie de la combinaison SSP-9 Ecologist, conçue pour la recherche dans les zones d'activité anormale, dotée d'une protection contre les radiations, non destinée aux opérations de combat.","SSP-9 生态学家太空服的一部分，专为在异常活动区进行研究而设计，具有辐射防护功能，不用于作战行动","SSP-9エコロジスト・スーツの一部。異常活動地帯での調査用に設計され、放射線防護機能を備えている。","Parte do fato SSP-9 Ecologist, concebido para investigação em zonas de atividade anómala, com proteção contra radiações, não se destina a operações de combate","SSP-9 生态学家太空服的一部分，专为在异常活动区进行研究而设计，具有辐射防护功能，不用于作战行动",
"STR_CfgVehicles_SFM_SSP99M_Back_Green0","Green Backpack from SSP-9 Ecologist Suit","Green Backpack from SSP-9 Ecologist Suit","Zelený batoh z ekologického obleku SSP-9","Grüner Rucksack von SSP-9 Ecologist Suit","Зеленый рюкзак от комбинезона ССП-9 Эколог","Zielony plecak od SSP-9 Ecologist Suit","Zöld hátizsák az SSP-9 ökológus öltönyből","Zaino verde di SSP-9 Tuta ecologica","Mochila verde del traje de ecologista SSP-9","Sac à dos vert de la combinaison écologique SSP-9","来自 SSP-9 生态学家套装的绿色背包","SSP-9エコロジスト・スーツのグリーン・バックパック","Mochila verde do fato de ecologista SSP-9","来自 SSP-9 生态学家套装的绿色背包",
"STR_CfgVehicles_SFM_SSP99M_Back_Green1","Part of the SSP-9 Ecologist suit, designed for research in anomalous activity zones. Features radiation protection but is not intended for combat operations","Part of the SSP-9 Ecologist suit, designed for research in anomalous activity zones. Features radiation protection but is not intended for combat operations","Součást skafandru SSP-9 Ecologist, určeného pro výzkum v zónách anomální aktivity. Má radiační ochranu, ale není určen pro bojové operace.","Teil des SSP-9 Ecologist-Anzugs, der für die Forschung in Gebieten mit anomaler Aktivität entwickelt wurde. Bietet Strahlenschutz, ist aber nicht für Kampfeinsätze gedacht.","Часть комбинезона ССП-9 Эколог, предназначен для исследования в условиях зоны аномальной активности, имеет радиационную защиту, не предназначен для ведения боевых действий","Część kombinezonu SSP-9 Ecologist, zaprojektowanego do badań w strefach aktywności anomalnej. Zapewnia ochronę przed promieniowaniem, ale nie jest przeznaczony do działań bojowych","Az SSP-9 Ecologist öltözet része, amelyet az anomális aktivitási zónákban végzett kutatáshoz terveztek. Sugárzásvédelemmel rendelkezik, de nem harci műveletekre szánták.","Parte della tuta Ecologist SSP-9, progettata per la ricerca in zone di attività anomala. È dotata di protezione dalle radiazioni, ma non è destinata alle operazioni di combattimento.","Parte del traje SSP-9 Ecologist, diseñado para la investigación en zonas de actividad anómala. Incorpora protección contra la radiación, pero no está pensado para operaciones de combate.","Partie de la combinaison SSP-9 Ecologist, conçue pour la recherche dans les zones d'activité anormale. Elle offre une protection contre les radiations mais n'est pas destinée aux opérations de combat.","SSP-9 生态学家太空服的一部分，专为在异常活动区进行研究而设计。具有辐射防护功能，但不用于作战行动","SSP-9エコロジスト・スーツの一部で、異常活動地帯での調査用に設計されている。放射線防護機能を備えているが、戦闘行動は想定していない。","Parte do fato SSP-9 Ecologist, concebido para investigação em zonas de atividade anómala. Possui proteção contra radiações, mas não se destina a operações de combate","SSP-9 生态学家太空服的一部分，专为在异常活动区进行研究而设计。具有辐射防护功能，但不用于作战行动",
"STR_CfgVehicles_SFM_SSP99M_Jacket_V1_Base0","SSP-9 Ecologist Suit Jacket","SSP-9 Ecologist Suit Jacket","SSP-9 Oblek pro ekologické pracovníky","SSP-9 Ecologist Suit Jacket","Куртка комбинезона ССП-9 Эколог","Kurtka SSP-9 Ecologist Suit","SSP-9 ökológus öltöny kabát","Giacca della tuta ecologica SSP-9","Chaqueta de traje de ecologista SSP-9","SSP-9 Ecologist Suit Jacket","SSP-9 生态学家套装夹克","SSP-9 エコロジスト・スーツ・ジャケット","Casaco de fato de ecologista SSP-9","SSP-9 生态学家套装夹克",
"STR_CfgVehicles_SFM_SSP99M_Jacket_V1_Base1","Part of the SSP-9 Ecologist suit, designed for research in anomalous activity zones, features radiation protection, not intended for combat operations","Part of the SSP-9 Ecologist suit, designed for research in anomalous activity zones, features radiation protection, not intended for combat operations","Součást obleku SSP-9 Ecologist, určeného pro výzkum v zónách anomální aktivity, s ochranou proti radiaci, není určen pro bojové operace.","Teil des SSP-9 Ecologist-Anzugs, konzipiert für die Forschung in Zonen anomaler Aktivität, mit Strahlenschutz, nicht für Kampfeinsätze bestimmt","Часть комбинезона ССП-9 Эколог, предназначен для исследования в условиях зоны аномальной активности, имеет радиационную защиту, не предназначен для ведения боевых действий","Część kombinezonu SSP-9 Ecologist, zaprojektowana do badań w strefach aktywności anomalnej, zapewnia ochronę przed promieniowaniem i nie jest przeznaczona do działań bojowych.","Az SSP-9 Ecologist ruha része, anomális aktivitású zónákban végzett kutatásra tervezték, sugárvédelemmel rendelkezik, nem harci műveletekre szánták.","Parte della tuta ecologica SSP-9, progettata per la ricerca in zone di attività anomala, dotata di protezione dalle radiazioni, non destinata alle operazioni di combattimento.","Parte del traje SSP-9 Ecologist, diseñado para la investigación en zonas de actividad anómala, cuenta con protección contra la radiación, no está destinado a operaciones de combate","Partie de la combinaison SSP-9 Ecologist, conçue pour la recherche dans les zones d'activité anormale, dotée d'une protection contre les radiations, non destinée aux opérations de combat.","SSP-9 生态学家太空服的一部分，专为在异常活动区进行研究而设计，具有辐射防护功能，不用于作战行动","SSP-9エコロジスト・スーツの一部。異常活動地帯での調査用に設計され、放射線防護機能を備えている。","Parte do fato SSP-9 Ecologist, concebido para investigação em zonas de atividade anómala, com proteção contra radiações, não se destina a operações de combate","SSP-9 生态学家太空服的一部分，专为在异常活动区进行研究而设计，具有辐射防护功能，不用于作战行动",
"STR_CfgVehicles_SFM_SSP99M_Jacket_V2_Base0","SSP-9 Ecologist Suit Jacket","SSP-9 Ecologist Suit Jacket","SSP-9 Oblek pro ekologické pracovníky","SSP-9 Ecologist Suit Jacket","Куртка комбинезона ССП-9 Эколог","Kurtka SSP-9 Ecologist Suit","SSP-9 ökológus öltöny kabát","Giacca della tuta ecologica SSP-9","Chaqueta de traje de ecologista SSP-9","SSP-9 Ecologist Suit Jacket","SSP-9 生态学家套装夹克","SSP-9 エコロジスト・スーツ・ジャケット","Casaco de fato de ecologista SSP-9","SSP-9 生态学家套装夹克",
"STR_CfgVehicles_SFM_SSP99M_Jacket_V2_Base1","Part of the SSP-9 Ecologist suit, designed for research in anomalous activity zones. Features radiation protection but is not intended for combat operations","Part of the SSP-9 Ecologist suit, designed for research in anomalous activity zones. Features radiation protection but is not intended for combat operations","Součást skafandru SSP-9 Ecologist, určeného pro výzkum v zónách anomální aktivity. Má radiační ochranu, ale není určen pro bojové operace.","Teil des SSP-9 Ecologist-Anzugs, der für die Forschung in Gebieten mit anomaler Aktivität entwickelt wurde. Bietet Strahlenschutz, ist aber nicht für Kampfeinsätze gedacht.","Часть комбинезона ССП-9 Эколог, предназначен для исследования в условиях зоны аномальной активности, имеет радиационную защиту, не предназначен для ведения боевых действий","Część kombinezonu SSP-9 Ecologist, zaprojektowanego do badań w strefach aktywności anomalnej. Zapewnia ochronę przed promieniowaniem, ale nie jest przeznaczony do działań bojowych","Az SSP-9 Ecologist öltözet része, amelyet az anomális aktivitási zónákban végzett kutatáshoz terveztek. Sugárzásvédelemmel rendelkezik, de nem harci műveletekre szánták.","Parte della tuta Ecologist SSP-9, progettata per la ricerca in zone di attività anomala. È dotata di protezione dalle radiazioni, ma non è destinata alle operazioni di combattimento.","Parte del traje SSP-9 Ecologist, diseñado para la investigación en zonas de actividad anómala. Incorpora protección contra la radiación, pero no está pensado para operaciones de combate.","Partie de la combinaison SSP-9 Ecologist, conçue pour la recherche dans les zones d'activité anormale. Elle offre une protection contre les radiations mais n'est pas destinée aux opérations de combat.","SSP-9 生态学家太空服的一部分，专为在异常活动区进行研究而设计。具有辐射防护功能，但不用于作战行动","SSP-9エコロジスト・スーツの一部で、異常活動地帯での調査用に設計されている。放射線防護機能を備えているが、戦闘行動は想定していない。","Parte do fato SSP-9 Ecologist, concebido para investigação em zonas de atividade anómala. Possui proteção contra radiações, mas não se destina a operações de combate","SSP-9 生态学家太空服的一部分，专为在异常活动区进行研究而设计。具有辐射防护功能，但不用于作战行动",
"STR_CfgVehicles_SFM_SSP99M_Pants_Red0","SSP-9 Ecologist Suit Pants","SSP-9 Ecologist Suit Pants","SSP-9 Oblekové kalhoty pro ekology","SSP-9 Ecologist Suit Pants","Штаны комбинезона ССП-9 Эколог","Spodnie SSP-9 Ecologist Suit","SSP-9 ökológus öltönynadrág","SSP-9 Pantaloni della tuta ecologica","SSP-9 Pantalón de traje ecologista","SSP-9 Ecologist Suit Pants","SSP-9 生态学家套装裤","SSP-9 エコロジスト・スーツ・パンツ","Calças do fato de ecologista SSP-9","SSP-9 生态学家套装裤",
"STR_CfgVehicles_SFM_SSP99M_Pants_Red1","Part of the SSP-9 Ecologist suit, designed for research in anomalous activity zones, features radiation protection, not intended for combat operations","Part of the SSP-9 Ecologist suit, designed for research in anomalous activity zones, features radiation protection, not intended for combat operations","Součást obleku SSP-9 Ecologist, určeného pro výzkum v zónách anomální aktivity, s ochranou proti radiaci, není určen pro bojové operace.","Teil des SSP-9 Ecologist-Anzugs, konzipiert für die Forschung in Zonen anomaler Aktivität, mit Strahlenschutz, nicht für Kampfeinsätze bestimmt","Часть комбинезона ССП-9 Эколог, предназначен для исследования в условиях зоны аномальной активности, имеет радиационную защиту, не предназначен для ведения боевых действий","Część kombinezonu SSP-9 Ecologist, zaprojektowana do badań w strefach aktywności anomalnej, zapewnia ochronę przed promieniowaniem i nie jest przeznaczona do działań bojowych.","Az SSP-9 Ecologist ruha része, anomális aktivitású zónákban végzett kutatásra tervezték, sugárvédelemmel rendelkezik, nem harci műveletekre szánták.","Parte della tuta ecologica SSP-9, progettata per la ricerca in zone di attività anomala, dotata di protezione dalle radiazioni, non destinata alle operazioni di combattimento.","Parte del traje SSP-9 Ecologist, diseñado para la investigación en zonas de actividad anómala, cuenta con protección contra la radiación, no está destinado a operaciones de combate","Partie de la combinaison SSP-9 Ecologist, conçue pour la recherche dans les zones d'activité anormale, dotée d'une protection contre les radiations, non destinée aux opérations de combat.","SSP-9 生态学家太空服的一部分，专为在异常活动区进行研究而设计，具有辐射防护功能，不用于作战行动","SSP-9エコロジスト・スーツの一部。異常活動地帯での調査用に設計され、放射線防護機能を備えている。","Parte do fato SSP-9 Ecologist, concebido para investigação em zonas de atividade anómala, com proteção contra radiações, não se destina a operações de combate","SSP-9 生态学家太空服的一部分，专为在异常活动区进行研究而设计，具有辐射防护功能，不用于作战行动",
"STR_CfgVehicles_SFM_SSP99M_Pants_Green0","SSP-9 Ecologist Suit Pants","SSP-9 Ecologist Suit Pants","SSP-9 Oblekové kalhoty pro ekology","SSP-9 Ecologist Suit Pants","Штаны комбинезона ССП-9 Эколог","Spodnie SSP-9 Ecologist Suit","SSP-9 ökológus öltönynadrág","SSP-9 Pantaloni della tuta ecologica","SSP-9 Pantalón de traje ecologista","SSP-9 Ecologist Suit Pants","SSP-9 生态学家套装裤","SSP-9 エコロジスト・スーツ・パンツ","Calças do fato de ecologista SSP-9","SSP-9 生态学家套装裤",
"STR_CfgVehicles_SFM_SSP99M_Pants_Green1","Part of the SSP-9 Ecologist suit, designed for research in anomalous activity zones, features radiation protection, not intended for combat operations","Part of the SSP-9 Ecologist suit, designed for research in anomalous activity zones, features radiation protection, not intended for combat operations","Součást obleku SSP-9 Ecologist, určeného pro výzkum v zónách anomální aktivity, s ochranou proti radiaci, není určen pro bojové operace.","Teil des SSP-9 Ecologist-Anzugs, konzipiert für die Forschung in Zonen anomaler Aktivität, mit Strahlenschutz, nicht für Kampfeinsätze bestimmt","Часть комбинезона ССП-9 Эколог, предназначен для исследования в условиях зоны аномальной активности, имеет радиационную защиту, не предназначен для ведения боевых действий","Część kombinezonu SSP-9 Ecologist, zaprojektowana do badań w strefach aktywności anomalnej, zapewnia ochronę przed promieniowaniem i nie jest przeznaczona do działań bojowych.","Az SSP-9 Ecologist ruha része, anomális aktivitású zónákban végzett kutatásra tervezték, sugárvédelemmel rendelkezik, nem harci műveletekre szánták.","Parte della tuta ecologica SSP-9, progettata per la ricerca in zone di attività anomala, dotata di protezione dalle radiazioni, non destinata alle operazioni di combattimento.","Parte del traje SSP-9 Ecologist, diseñado para la investigación en zonas de actividad anómala, cuenta con protección contra la radiación, no está destinado a operaciones de combate","Partie de la combinaison SSP-9 Ecologist, conçue pour la recherche dans les zones d'activité anormale, dotée d'une protection contre les radiations, non destinée aux opérations de combat.","SSP-9 生态学家太空服的一部分，专为在异常活动区进行研究而设计，具有辐射防护功能，不用于作战行动","SSP-9エコロジスト・スーツの一部。異常活動地帯での調査用に設計され、放射線防護機能を備えている。","Parte do fato SSP-9 Ecologist, concebido para investigação em zonas de atividade anómala, com proteção contra radiações, não se destina a operações de combate","SSP-9 生态学家太空服的一部分，专为在异常活动区进行研究而设计，具有辐射防护功能，不用于作战行动",
"STR_CfgVehicles_SFM_SSP99M_Boots0","SSP-9 Ecologist Suit Boots","SSP-9 Ecologist Suit Boots","SSP-9 Ekologický oblek Boty","SSP-9 Ökologe Anzug Stiefel","Ботинки комбинезона ССП-9 Эколог","Buty SSP-9 Ecologist Suit","SSP-9 ökológus öltöny csizma","SSP-9 Stivali della tuta ecologica","SSP-9 Traje Ecologista Botas","SSP-9 Bottes de la combinaison écologiste","SSP-9 生态学家套装靴","SSP-9 エコロジスト・スーツ・ブーツ","SSP-9 Botas de fato de ecologista","SSP-9 生态学家套装靴",
"STR_CfgVehicles_SFM_SSP99M_Boots1","Part of the SSP-9 Ecologist suit, designed for research in anomalous activity zones, features radiation protection, not intended for combat operations","Part of the SSP-9 Ecologist suit, designed for research in anomalous activity zones, features radiation protection, not intended for combat operations","Součást obleku SSP-9 Ecologist, určeného pro výzkum v zónách anomální aktivity, s ochranou proti radiaci, není určen pro bojové operace.","Teil des SSP-9 Ecologist-Anzugs, konzipiert für die Forschung in Zonen anomaler Aktivität, mit Strahlenschutz, nicht für Kampfeinsätze bestimmt","Часть комбинезона ССП-9 Эколог, предназначен для исследования в условиях зоны аномальной активности, имеет радиационную защиту, не предназначен для ведения боевых действий","Część kombinezonu SSP-9 Ecologist, zaprojektowana do badań w strefach aktywności anomalnej, zapewnia ochronę przed promieniowaniem i nie jest przeznaczona do działań bojowych.","Az SSP-9 Ecologist ruha része, anomális aktivitású zónákban végzett kutatásra tervezték, sugárvédelemmel rendelkezik, nem harci műveletekre szánták.","Parte della tuta ecologica SSP-9, progettata per la ricerca in zone di attività anomala, dotata di protezione dalle radiazioni, non destinata alle operazioni di combattimento.","Parte del traje SSP-9 Ecologist, diseñado para la investigación en zonas de actividad anómala, cuenta con protección contra la radiación, no está destinado a operaciones de combate","Partie de la combinaison SSP-9 Ecologist, conçue pour la recherche dans les zones d'activité anormale, dotée d'une protection contre les radiations, non destinée aux opérations de combat.","SSP-9 生态学家太空服的一部分，专为在异常活动区进行研究而设计，具有辐射防护功能，不用于作战行动","SSP-9エコロジスト・スーツの一部。異常活動地帯での調査用に設計され、放射線防護機能を備えている。","Parte do fato SSP-9 Ecologist, concebido para investigação em zonas de atividade anómala, com proteção contra radiações, não se destina a operações de combate","SSP-9 生态学家太空服的一部分，专为在异常活动区进行研究而设计，具有辐射防护功能，不用于作战行动",
"STR_CfgVehicles_SFM_gm_t1_SSP99M_Set_Glass0","SSP-9 Ecologist Suit Sealed Visor","SSP-9 Ecologist Suit Sealed Visor","SSP-9 Ekologický oblek Sealed Visor","SSP-9 Ökologenanzug Versiegeltes Visier","Герметичное стекло комбинезона ССП-9 Эколог","SSP-9 Ecologist Suit Sealed Visor","SSP-9 ökológus öltöny lezárt szemellenzővel","SSP-9 Tuta ecologica con visiera sigillata","SSP-9 Traje Ecologista Visera Sellada","SSP-9 Ecologist Suit Sealed Visor","SSP-9 生态学家套装密封面罩","SSP-9 エコロジスト・スーツ シールド・バイザー","Fato de ecologista SSP-9 Viseira selada","SSP-9 生态学家套装密封面罩",
"STR_CfgVehicles_SFM_gm_t1_SSP99M_Set_Glass1","Part of the SSP-9 Ecologist suit, designed for research in anomalous activity zones, features radiation protection, not intended for combat operations","Part of the SSP-9 Ecologist suit, designed for research in anomalous activity zones, features radiation protection, not intended for combat operations","Součást obleku SSP-9 Ecologist, určeného pro výzkum v zónách anomální aktivity, s ochranou proti radiaci, není určen pro bojové operace.","Teil des SSP-9 Ecologist-Anzugs, konzipiert für die Forschung in Zonen anomaler Aktivität, mit Strahlenschutz, nicht für Kampfeinsätze bestimmt","Часть комбинезона ССП-9 Эколог, предназначен для исследования в условиях зоны аномальной активности, имеет радиационную защиту, не предназначен для ведения боевых действий","Część kombinezonu SSP-9 Ecologist, zaprojektowana do badań w strefach aktywności anomalnej, zapewnia ochronę przed promieniowaniem i nie jest przeznaczona do działań bojowych.","Az SSP-9 Ecologist ruha része, anomális aktivitású zónákban végzett kutatásra tervezték, sugárvédelemmel rendelkezik, nem harci műveletekre szánták.","Parte della tuta ecologica SSP-9, progettata per la ricerca in zone di attività anomala, dotata di protezione dalle radiazioni, non destinata alle operazioni di combattimento.","Parte del traje SSP-9 Ecologist, diseñado para la investigación en zonas de actividad anómala, cuenta con protección contra la radiación, no está destinado a operaciones de combate","Partie de la combinaison SSP-9 Ecologist, conçue pour la recherche dans les zones d'activité anormale, dotée d'une protection contre les radiations, non destinée aux opérations de combat.","SSP-9 生态学家太空服的一部分，专为在异常活动区进行研究而设计，具有辐射防护功能，不用于作战行动","SSP-9エコロジスト・スーツの一部。異常活動地帯での調査用に設計され、放射線防護機能を備えている。","Parte do fato SSP-9 Ecologist, concebido para investigação em zonas de atividade anómala, com proteção contra radiações, não se destina a operações de combate","SSP-9 生态学家太空服的一部分，专为在异常活动区进行研究而设计，具有辐射防护功能，不用于作战行动",
"STR_CfgVehicles_SFM_TacticalPants_Base0","Tactical Pants","Tactical Pants","Taktické kalhoty","Taktische Hosen","Тактические Штаны","Spodnie taktyczne","Taktikai nadrág","Pantaloni tattici","Pantalones tácticos","Pantalon tactique","战术裤","タクティカル・パンツ","Calças tácticas","战术裤",
"STR_CfgVehicles_SFM_TacticalPants_Base1","Tactical pants are comfortable and functional clothing designed for an active lifestyle. They feature reinforced seams, multiple pockets for storing various items, and a comfortable cut for freedom of movement. These pants are commonly used by military personnel, hikers, hunters, and outdoor enthusiasts.","Tactical pants are comfortable and functional clothing designed for an active lifestyle. They feature reinforced seams, multiple pockets for storing various items, and a comfortable cut for freedom of movement. These pants are commonly used by military personnel, hikers, hunters, and outdoor enthusiasts.","Taktické kalhoty jsou pohodlné a funkční oblečení určené pro aktivní životní styl. Mají zesílené švy, několik kapes pro uložení různých předmětů a pohodlný střih pro volnost pohybu. Tyto kalhoty běžně používají vojáci, turisté, lovci a outdooroví nadšenci.","Die taktische Hose ist eine bequeme und funktionelle Bekleidung für einen aktiven Lebensstil. Sie verfügen über verstärkte Nähte, mehrere Taschen zum Verstauen verschiedener Gegenstände und einen bequemen Schnitt für mehr Bewegungsfreiheit. Diese Hosen werden häufig von Militärangehörigen, Wanderern, Jägern und Outdoor-Fans verwendet.","Тактические штаны - это удобная и функциональная одежда, предназначенная для активного образа жизни. Имеют усиленные швы, множество карманов для хранения различных предметов, а также удобный крой для свободы движений. Такие штаны часто используются военными, туристами, охотниками, а также просто любителями активного отдыха.","Spodnie taktyczne to wygodna i funkcjonalna odzież zaprojektowana z myślą o aktywnym stylu życia. Posiadają wzmocnione szwy, wiele kieszeni do przechowywania różnych przedmiotów oraz wygodny krój zapewniający swobodę ruchów. Spodnie te są powszechnie używane przez personel wojskowy, turystów, myśliwych i entuzjastów outdooru.","A taktikai nadrágok az aktív életmódhoz tervezett kényelmes és funkcionális ruházat. Megerősített varrásokkal, több zsebbel rendelkezik a különböző tárgyak tárolására, és kényelmes szabással a mozgásszabadság érdekében. Ezeket a nadrágokat általában a katonai személyzet, a túrázók, a vadászok és a szabadtéri sportok szerelmesei használják.","I pantaloni tattici sono indumenti comodi e funzionali progettati per uno stile di vita attivo. Presentano cuciture rinforzate, tasche multiple per riporre vari oggetti e un taglio comodo per la libertà di movimento. Questi pantaloni sono comunemente utilizzati da militari, escursionisti, cacciatori e appassionati di outdoor.","Los pantalones tácticos son prendas cómodas y funcionales diseñadas para un estilo de vida activo. Cuentan con costuras reforzadas, múltiples bolsillos para guardar diversos objetos y un corte cómodo para mayor libertad de movimientos. Estos pantalones son utilizados habitualmente por militares, excursionistas, cazadores y aficionados a las actividades al aire libre.","Les pantalons tactiques sont des vêtements confortables et fonctionnels conçus pour un mode de vie actif. Ils présentent des coutures renforcées, de multiples poches pour ranger divers objets et une coupe confortable pour une grande liberté de mouvement. Ces pantalons sont couramment utilisés par le personnel militaire, les randonneurs, les chasseurs et les amateurs d'activités de plein air.","战术裤是专为积极的生活方式设计的舒适而实用的服装。它们具有加固的接缝、多个用于存放各种物品的口袋，以及便于自由活动的舒适剪裁。军事人员、徒步旅行者、狩猎者和户外运动爱好者常用这种裤子。","タクティカルパンツは、アクティブなライフスタイルのためにデザインされた快適で機能的なウェアである。補強された縫い目、様々なアイテムを収納できる複数のポケット、自由な動きのための快適なカットが特徴です。これらのパンツは、一般的に軍関係者、ハイカー、ハンター、アウトドア愛好家によって使用されています。","As calças tácticas são vestuário confortável e funcional concebido para um estilo de vida ativo. Apresentam costuras reforçadas, vários bolsos para guardar vários artigos e um corte confortável para liberdade de movimentos. Estas calças são normalmente utilizadas por militares, caminhantes, caçadores e entusiastas do ar livre.","战术裤是专为积极的生活方式设计的舒适而实用的服装。它们具有加固的接缝、多个用于存放各种物品的口袋，以及便于自由活动的舒适剪裁。军事人员、徒步旅行者、狩猎者和户外运动爱好者常用这种裤子。",
"STR_CfgVehicles_SFM_TacticalSweater_Base0","Tactical Sweater","Tactical Sweater","Taktický svetr","Taktischer Pullover","Тактический свитер","Sweter taktyczny","Taktikai pulóver","Maglione tattico","Suéter táctico","Pull tactique","战术毛衣","タクティカル・セーター","Camisola tática","战术毛衣",
"STR_CfgVehicles_SFM_TacticalSweater_Base1","A tactical sweater is a versatile and practical garment that combines comfort and functionality. Made from durable materials providing protection against wind and cold. Features reinforced areas on the elbows and shoulders for improved wear resistance.","A tactical sweater is a versatile and practical garment that combines comfort and functionality. Made from durable materials providing protection against wind and cold. Features reinforced areas on the elbows and shoulders for improved wear resistance.","Taktický svetr je univerzální a praktický oděv, který kombinuje pohodlí a funkčnost. Je vyroben z odolných materiálů, které poskytují ochranu proti větru a chladu. Je vybaven zesílenými oblastmi na loktech a ramenou pro zvýšení odolnosti proti opotřebení.","Ein taktischer Pullover ist ein vielseitiges und praktisches Kleidungsstück, das Komfort und Funktionalität vereint. Hergestellt aus strapazierfähigen Materialien, die Schutz vor Wind und Kälte bieten. Verstärkte Bereiche an den Ellbogen und Schultern für verbesserte Verschleißfestigkeit.","Тактический свитер - это универсальная и практичная одежда, которая сочетает в себе комфорт и функциональность. Изготовлен из прочных материалов, обеспечивающих защиту от ветра и холода. Имеет усиленные участки на локтях и плечах для улучшения износостойкости.","Sweter taktyczny to uniwersalna i praktyczna odzież, która łączy w sobie wygodę i funkcjonalność. Wykonany z wytrzymałych materiałów zapewnia ochronę przed wiatrem i zimnem. Posiada wzmocnione obszary na łokciach i ramionach dla lepszej odporności na zużycie.","A taktikai pulóver sokoldalú és praktikus ruhadarab, amely egyesíti a kényelmet és a funkcionalitást. Tartós anyagokból készül, amelyek védelmet nyújtanak a szél és a hideg ellen. Megerősített területekkel rendelkezik a könyökön és a vállakon a jobb kopásállóság érdekében.","Il maglione tattico è un indumento versatile e pratico che combina comfort e funzionalità. Realizzato con materiali resistenti che proteggono dal vento e dal freddo. Presenta aree rinforzate su gomiti e spalle per una maggiore resistenza all'usura.","Un jersey táctico es una prenda versátil y práctica que combina comodidad y funcionalidad. Fabricado con materiales duraderos que proporcionan protección contra el viento y el frío. Presenta zonas reforzadas en codos y hombros para mejorar la resistencia al desgaste.","Un pull tactique est un vêtement polyvalent et pratique qui allie confort et fonctionnalité. Fabriqué à partir de matériaux durables, il offre une protection contre le vent et le froid. Il comporte des zones renforcées aux coudes et aux épaules pour une meilleure résistance à l'usure.","战术毛衣是一种集舒适性和功能性于一身的多功能实用服装。采用耐用材料制成，可抵御风寒。肘部和肩部的加固部位可提高耐磨性。","タクティカル・セーターは、快適さと機能性を兼ね備えた多用途で実用的な衣服である。風や寒さを防ぐ丈夫な素材を使用。肘と肩の補強により耐摩耗性を向上。","Uma camisola tática é uma peça de vestuário versátil e prática que combina conforto e funcionalidade. Fabricada com materiais duráveis que proporcionam proteção contra o vento e o frio. Possui zonas reforçadas nos cotovelos e nos ombros para uma maior resistência ao desgaste.","战术毛衣是一种集舒适性和功能性于一身的多功能实用服装。采用耐用材料制成，可抵御风寒。肘部和肩部的加固部位可提高耐磨性。",
"STR_CfgVehicles_SFM_WFJacket_Base0","Wind of Freedom Suit Jacket","Wind of Freedom Suit Jacket","Obleková bunda Wind of Freedom","Wind der Freiheit Anzugjacke","Куртка комбинезона Ветер Свободы","Kurtka garniturowa Wind of Freedom","A szabadság szele öltönyös kabát","Giacca da abito Wind of Freedom","Chaqueta Wind of Freedom","Veste de costume Wind of Freedom","自由之风套装夹克","ウインド・オブ・フリーダム・スーツ・ジャケット","Casaco de fato Wind of Freedom","自由之风西装外套",
